"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 12 16:20:40 WET 2025","Sun Jan 12 16:20:42 WET 2025","2201","firefox","MVC_Exercise.spec.js","","","","ui_Automation_MVC",""
"passed","Sun Jan 12 16:20:40 WET 2025","Sun Jan 12 16:20:48 WET 2025","8008","chromium","MVC_Exercise.spec.js","","","","ui_Automation_MVC",""
